Day,Month,Year,site_name,genus_species,PA,Zone,Observer,notes
19,february,2022,Washington,Nymphalis californica,3,2Serp,"MF, EL",
19,february,2022,Washington,Nymphalis californica,3,1Valley,"MF, EL",
19,february,2022,Washington,Erynnis propertius,3,1Valley,"MF, EL",
19,february,2022,Washington,Plebejus acmon,1,1Valley,"MF, EL",
11,march,2022,Sierra Valley,NA,NA,NA,CH,
16,march,2022,Washington,Erynnis propertius,2,2Serp,MF,
16,march,2022,Washington,Erynnis propertius,3,1Valley,MF,30+
16,march,2022,Washington,Pieris napi,1,1Valley,MF,
16,march,2022,Washington,Celastrina ladon echo,3,1Valley,MF,30+
16,march,2022,Washington,Nymphalis californica,3,1Valley,MF,
16,march,2022,Washington,Phyciodes mylitta,3,1Valley,MF,
16,march,2022,Washington,Euchloe hyantis foothill,1,1Valley,MF,
23,march,2022,Sierra Valley,Pontia occidentalis,2,2Lava,CH,
26,march,2022,Washington,Incisalia augustinus iroides,3,2Serp,MF,
26,march,2022,Washington,Nymphalis californica,2,2Serp,MF,
26,march,2022,Washington,Papilio rutulus,1,2Serp,MF,
26,march,2022,Washington,Celastrina ladon echo,1,2Serp,MF,
26,march,2022,Washington,Erynnis propertius,2,2Serp,MF,
26,march,2022,Washington,Colias eurytheme,2,1Valley,MF,
26,march,2022,Washington,Pieris napi,3,1Valley,MF,
26,march,2022,Washington,Erynnis propertius,3,1Valley,MF,30+
26,march,2022,Washington,Celastrina ladon echo,3,1Valley,MF,
26,march,2022,Washington,Phyciodes mylitta,2,1Valley,MF,
26,march,2022,Washington,Nymphalis californica,3,1Valley,MF,
26,march,2022,Washington,Incisalia augustinus iroides,1,1Valley,MF,
26,march,2022,Lang Crossing,Nymphalis californica,1,2Forest,MF,
6,april,2022,Lang Crossing,Colias eurytheme,2,1Meadow,CH,
6,april,2022,Lang Crossing,Pieris napi,1,2Forest,CH,
6,april,2022,Lang Crossing,Erynnis propertius,3,2Forest,CH,
6,april,2022,Lang Crossing,Erynnis propertius,1,3Chap,CH,
6,april,2022,Lang Crossing,Celastrina ladon echo,2,3Chap,CH,
7,april,2022,Sierra Valley,Pontia occidentalis,1,2Lava,CH,30+
7,april,2022,Sierra Valley,Pontia occidentalis,3,1Road,CH,30+
7,april,2022,Sierra Valley,Colias eurytheme,3,1Road,CH,
7,april,2022,Sierra Valley,Vanessa cardui,1,1Road,CH,
7,april,2022,Sierra Valley,Junonia coenia,1,1Road,CH,
7,april,2022,Sierra Valley,Phyciodes mylitta,2,1Road,CH,
7,april,2022,Sierra Valley,Colias philodice,1,1Road,CH,
7,april,2022,Sierra Valley,Coenonympha tullia ampelos,1,1Road,CH,
7,april,2022,Sierra Valley,Nymphalis californica,1,1Road,CH,
7,april,2022,Sierra Valley,Nymphalis antiopa,1,1Road,CH,
7,april,2022,Sierra Valley,Pontia sisymbrii,1,1Road,CH,
7,april,2022,Sierra Valley,Pontia beckerii,1,1Road,CH,
8,april,2022,Washington,Erynnis propertius,3,1Valley,CH,30+
8,april,2022,Washington,Pieris napi,3,1Valley,CH,
8,april,2022,Washington,Chlosyne palla,3,1Valley,CH,
8,april,2022,Washington,Celastrina ladon echo,3,1Valley,CH,
8,april,2022,Washington,Euphydryas chalcedona,3,1Valley,CH,
8,april,2022,Washington,Anthocharis sara sara,3,1Valley,CH,
8,april,2022,Washington,Vanessa cardui,1,1Valley,CH,
8,april,2022,Washington,Phyciodes mylitta,1,1Valley,CH,
8,april,2022,Washington,Euchloe hyantis foothill,1,1Valley,CH,
8,april,2022,Washington,NA,NA,2Serp,CH,
24,april,2022,Washington,Erynnis propertius,2,2Serp,MF,
24,april,2022,Washington,Erynnis propertius,3,1Valley,MF,30+
24,april,2022,Washington,Parnassius clodius,1,1Valley,MF,
24,april,2022,Washington,Euchloe hyantis foothill,2,1Valley,MF,
24,april,2022,Washington,Celastrina ladon echo,3,1Valley,MF,
24,april,2022,Washington,Euphydryas chalcedona,3,1Valley,MF,
24,april,2022,Washington,Chlosyne palla,1,1Valley,MF,
24,april,2022,Washington,Incisalia augustinus iroides,1,1Valley,MF,
24,april,2022,Washington,Phyciodes mylitta,1,1Valley,MF,
24,april,2022,Washington,Nymphalis californica,1,1Valley,MF,
26,april,2022,Lang Crossing,Erynnis propertius,1,1Meadow,CH,
26,april,2022,Lang Crossing,Junonia coenia,1,1Meadow,CH,
26,april,2022,Lang Crossing,Papilio rutulus,1,1Meadow,CH,
26,april,2022,Lang Crossing,Erynnis propertius,1,2Forest,CH,
26,april,2022,Lang Crossing,Pieris napi,2,2Forest,CH,
26,april,2022,Lang Crossing,Erynnis propertius,3,3Chap,CH,
26,april,2022,Lang Crossing,Colias eurytheme,2,3Chap,CH,
26,april,2022,Lang Crossing,Euphydryas chalcedona,3,3Chap,CH,
27,april,2022,Sierra Valley,Colias philodice,3,1Road,CH,
27,april,2022,Sierra Valley,Colias eurytheme,3,1Road,CH,
27,april,2022,Sierra Valley,Pyrgus communis,1,1Road,CH,
27,april,2022,Sierra Valley,Pontia beckerii,1,1Road,CH,
27,april,2022,Sierra Valley,Euphydryas chalcedona,1,1Road,CH,
27,april,2022,Sierra Valley,Junonia coenia,1,1Road,CH,
27,april,2022,Sierra Valley,Coenonympha tullia ampelos,2,1Road,CH,
27,april,2022,Sierra Valley,Vanessa atalanta,1,1Road,CH,
27,april,2022,Sierra Valley,Hesperia juba,1,1Road,CH,
27,april,2022,Sierra Valley,Papilio zelicaon,2,2Lava,CH,
27,april,2022,Sierra Valley,Coenonympha tullia ampelos,1,2Lava,CH,
5,may,2022,Washington,Erynnis propertius,3,1Valley,CH,30+
5,may,2022,Washington,Colias eurytheme,1,1Valley,CH,
5,may,2022,Washington,Pieris rapae,1,1Valley,CH,
5,may,2022,Washington,Pieris napi,3,1Valley,CH,
5,may,2022,Washington,Coenonympha tullia california,1,1Valley,CH,
5,may,2022,Washington,Incisalia eryphon,1,1Valley,CH,
5,may,2022,Washington,Adelpha bredowii californica,3,1Valley,CH,
5,may,2022,Washington,Papilio eurymedon,3,1Valley,CH,
5,may,2022,Washington,Chlosyne palla,3,1Valley,CH,
5,may,2022,Washington,Euphydryas chalcedona,3,1Valley,CH,
5,may,2022,Washington,Nymphalis californica,1,1Valley,CH,
5,may,2022,Washington,Parnassius clodius,1,1Valley,CH,
5,may,2022,Washington,Erynnis propertius,3,2Serp,CH,
13,may,2022,Sierra Valley,Phyciodes mylitta,1,1Road,"MF, CH, TC",
13,may,2022,Sierra Valley,Colias philodice,3,1Road,"MF, CH, TC",
13,may,2022,Sierra Valley,Euchloe ausonides,1,1Road,"MF, CH, TC",
13,may,2022,Sierra Valley,Coenonympha tullia ampelos,3,1Road,"MF, CH, TC",
13,may,2022,Sierra Valley,Lycaena helloides,1,1Road,"MF, CH, TC",
13,may,2022,Sierra Valley,Colias eurytheme,2,1Road,"MF, CH, TC",
